Timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025-05-07 12:14:59,46,46,6.9
2025-05-07 12:15:01,69,69,10.35
2025-05-07 12:15:03,65,65,9.75
2025-05-07 12:15:05,64,64,9.6
2025-05-07 12:15:06,63,63,9.45
2025-05-07 12:15:08,58,58,8.7
2025-05-07 12:15:10,59,59,8.85
2025-05-07 12:15:12,47,47,7.05
2025-05-07 12:15:13,48,48,7.2
2025-05-07 12:15:15,68,68,10.2
2025-05-07 12:15:17,58,58,8.7
2025-05-07 12:15:19,50,50,7.5
2025-05-07 12:15:20,46,46,6.9
2025-05-07 12:15:22,45,45,6.75
2025-05-07 12:15:24,51,51,7.65
2025-05-07 12:15:26,55,55,8.25
2025-05-07 12:15:27,53,53,7.95
2025-05-07 12:15:29,54,54,8.1
2025-05-07 12:15:31,52,52,7.8
2025-05-07 12:15:33,71,71,10.65
2025-05-07 12:15:34,75,75,11.25
2025-05-07 12:15:36,82,82,12.3
2025-05-07 12:15:38,102,102,15.3
2025-05-07 12:15:40,101,101,15.15
2025-05-07 12:15:41,100,100,15.0
2025-05-07 12:15:43,91,91,13.65
2025-05-07 12:15:45,106,106,15.9
2025-05-07 12:15:46,106,106,15.9
2025-05-07 12:15:48,107,107,16.05
2025-05-07 12:15:50,113,113,16.95
2025-05-07 12:15:52,86,86,12.9
2025-05-07 12:15:53,81,81,12.15
2025-05-07 12:15:55,84,84,12.6
2025-05-07 12:15:57,77,77,11.55
2025-05-07 12:15:59,72,72,10.8
2025-05-07 12:16:00,69,69,10.35
2025-05-07 12:16:02,72,72,10.8
2025-05-07 12:16:04,75,75,11.25
2025-05-07 12:16:06,76,76,11.4
2025-05-07 12:16:07,87,87,13.05
2025-05-07 12:16:09,86,86,12.9
2025-05-07 12:16:11,87,87,13.05
2025-05-07 12:16:13,82,82,12.3
2025-05-07 12:16:14,64,64,9.6
2025-05-07 12:16:16,57,57,8.55
2025-05-07 12:16:18,59,59,8.85
2025-05-07 12:16:20,53,53,7.95
2025-05-07 12:16:21,48,48,7.2
2025-05-07 12:16:23,45,45,6.75
2025-05-07 12:16:25,45,45,6.75
2025-05-07 12:16:27,43,43,6.45
2025-05-07 12:16:28,43,43,6.45
2025-05-07 12:16:30,43,43,6.45
2025-05-07 12:16:32,43,43,6.45
2025-05-07 12:16:33,44,44,6.6
2025-05-07 12:16:35,41,41,6.15
2025-05-07 12:16:37,42,42,6.3
2025-05-07 12:16:39,44,44,6.6
2025-05-07 12:16:40,40,40,6.0
2025-05-07 12:16:42,41,41,6.15
2025-05-07 12:16:44,39,39,5.85
2025-05-07 12:16:46,41,41,6.15
2025-05-07 12:16:47,42,42,6.3
2025-05-07 12:16:49,43,43,6.45
2025-05-07 12:16:51,40,40,6.0
2025-05-07 12:16:53,39,39,5.85
2025-05-07 12:16:54,81,81,12.15
2025-05-07 12:16:56,75,75,11.25
2025-05-07 12:16:58,94,94,14.1
2025-05-07 12:17:00,85,85,12.75
